"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Norway","NOR",20201003,"C8: International travel controls",2,NA,"""When arriving from a red area the following applies:    Keep wearing the face mask from your flight until you have reached home.  You need to be in travel quarantine for 10 days from the day of your arrival to Norway.  You should stay at home or in another suitable place of residence.  You should not go to work, school or kindergarten while in travel quarantine, but you can work from home.  You can travel by public transport from the place of arrival to the place where you will be in quarantine. If you are 12 years old or older you should wear a face mask.  You are not allowed to travel by public transport during your time in quarantine.  You can go for a walk, but only if you are able to keep a good distance to others.  You should make arrangements for others to help out with your grocery shopping or other necessary errands.  If you cannot make any such arrangements, you should visit the shop at times when only few others visit.  Wash your hands frequently and thoroughly.  Pay close attention to any symptoms developing.  Take a test for the coronavirus if you develop any symptoms, see the Coronavirus Self-Checker.  Violation of the quarantine duty is a criminal offence.""    http://web.archive.org/web/20201005121649/https://www.helsenorge.no/koronavirus/reise/","norway","quarantine arrivals from some/ all regions"
"Nepal","NPL",20200914,"C8: International travel controls",3,NA,"'The government announced September 14 that all land ports of entry into Nepal remain closed through midnight the night of October 16. There are a limited number of border points through which returning Nepali citizens are allowed entry.' Still, 'no foreigners are permitted entry to Nepal at this time. The government of Nepal has approved exceptions for diplomatic, international organization, and some international non-governmental organization personnel'.    https://archive.vn/aRG9f    Since only limited types of foreigners could enter the country, the index should change from [4] to [3], rather than [2], on 2 September?","nepal","ban arrivals from some regions"
"New Zealand","NZL",20200929,"C8: International travel controls",4,NA,"Previous restrictions remain in place. ""The New Zealand borders are closed for all but critical travel (...) The travel ban applies to all arrivals into New Zealand whether by air or sea. (....) There are a small number of limited exceptions to the ban on travelling to and entering New Zealand. These exceptions apply to people who:  - Already hold a temporary New Zealand visa  - Don’t have a New Zealand visa. If you’re not a New Zealand citizen or resident you legally must get approval from Immigration New Zealand before travelling to New Zealand.""    Source: http://web.archive.org/web/20201007090841/https://covid19.govt.nz/travel-and-the-border/border-restrictions/","new zealand","ban on all regions/total border closure"
"Oman","OMN",20200901,"C8: International travel controls",2,NA,"""Oman will reopen to international flights on October 1, Oman Airports and the Sultanate’s Civil Aviation Authority have confirmed in a statement.""  https://www.businesstraveller.com/business-travel/2020/09/09/oman-set-to-reopen-to-international-flights-on-october-1/","oman","quarantine arrivals from some/ all regions"
"Pakistan","PAK",20200929,"C8: International travel controls",2,NA,"No changes found.    ""Starting 20th June, all airlines that routinely fly to Pakistan would be allowed to operate inbound traffic to Pakistan, with roughly 250-300 inbound flights per week across the country.""  ""Passengers will undergo heightened screening at established health desks upon arrival to the airport. Screening will be carried out using thermal gun, thermal scanners and reviews by health professionals.  Each passenger must submit a signed Passenger Health Form (signed during the flight or upon arrival) before leaving the airport to ensure record keeping of inbound passengers, and confirming their willingness to abide by quarantine/home-isolation protocols.  · Asymptomatic passengers will be sent home, and added to the Track and Trace system by respective provincial/federal authorities, and monitored to ensure self-isolation is carried out for 14 days.  · Symptomatic passengers will be tested and quarantined until availability of test results; with option of paid / government quarantine facilities to be provided as per earlier policy.""    http://archive.fo/Whoxg","pakistan","quarantine arrivals from some/ all regions"
"Panama","PAN",20200923,"C8: International travel controls",4,NA,"Although international commercial flights were supposed to resume by September 21st 2020 (whereby incoming passengers would have had to provide a negative COVID-19 test result to gain entry to Panama) according to the IMF Policy Responses to Covid-19 website (https://web.archive.org/web/20200924150300/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19), the US Embassy in Panama has stated that 'On September 23, the Government of Panama extended the suspension of international commercial passenger flights for an additional 19 days through October 11.??The previous exceptions for cargo, humanitarian, medical supplies, medical evacuation, and vaccines remain in place. Tocumen International Airport continues to operate as a Humanitarian Mini-Hub.'  https://web.archive.org/web/20200924150952/https://pa.usembassy.gov/covid-19-information/","panama","ban on all regions/total border closure"
"Peru","PER",20201001,"C8: International travel controls",3,NA,"""Peru will begin phase 4 of economic reactivation on October 1, including the resumption of a limited number of international flights.""https://web.archive.org/web/20201009005310/https://pe.usembassy.gov/covid-19-information/","peru","ban arrivals from some regions"
"Philippines","PHL",20201001,"C8: International travel controls",2,NA,"No change in policy found.","philippines","quarantine arrivals from some/ all regions"
"Papua New Guinea","PNG",20200925,"C8: International travel controls",2,NA,"Every aircraft or vessel needs to be first declared at the First Port of Entry; there is a quarantine station for the performance of quarantine.    https://web.archive.org/web/20201006131537/https://covid19.info.gov.pg/files/National%20Pandemic%20Measures/Pandemic%20Measures%2005102020/M%202%20Oct%202020.pdf","papua new guinea","quarantine arrivals from some/ all regions"
"Poland","POL",20200901,"C8: International travel controls",3,NA,"Poland is banning from Wednesday direct flights from 44 countries including Spain, Israel and Romania in order to prevent the spread of the coronavirus in the Central European country, the government said on Tuesday.  https://web.archive.org/web/20200917093046/https://uk.reuters.com/article/idUKKBN25S4Q6","poland","ban arrivals from some regions"
"Puerto Rico","PRI",20200821,"C8: International travel controls",1,NA,"As of 31 August, Puerto Rico is encouraging only essential travel and has postponed its official inbound tourism. However, it is not clear if this is a ban policy or only an ""encouragement"" to reduce the inflow of international passengers.    http://web.archive.org/web/20200831204018/https://www.discoverpuertorico.com/info/travel-advisory","puerto rico","screening arrivals"
"Portugal","PRT",20200918,"C8: International travel controls",1,NA,"Screening on arrival  If you are travelling to Portugal from the UK, the European Area, Australia, Canada, China, Georgia, Japan, Morocco, New Zealand, Rwanda, South Korea, Thailand, Tunisia or Uruguay, you will be subject to health screening on arrival at mainland airports and ports. Your temperature will be checked and if it is 38ºc or over or you show signs of being unwell, you will be referred to the health authorities at the airport. You may be required to take a COVID-19 test and to self-isolate at your accommodation until the test results are known.    If you are travelling to Portugal from any country other than those specified above, you will need to show proof of a negative COVID-19 test to airline staff prior to boarding, except if you are in direct transit and do not need to leave the airport. The test must have been carried out within 72 hours of departure. You can be refused boarding if you do not have proof of having taken a test, unless you are a Portuguese national or are legally resident in Portugal.   Source: http://web.archive.org/web/20201001113703/https://www.gov.uk/foreign-travel-advice/portugal/entry-requirements","portugal","screening arrivals"
"Paraguay","PRY",20200825,"C8: International travel controls",4,NA,"The Paraguayan government has closed all international borders to? travel.?Commercial flights have been suspended at all Paraguayan?airports until?further notice, with limited exceptions for repatriation?flights.??Non-residents of?Paraguay are not permitted to transit?the airport?in?Asuncion.? Source: http://web.archive.org/web/20200902145858/https://py.usembassy.gov/covid-19-information-2/","paraguay","ban on all regions/total border closure"
"Palestine","PSE",20201007,"C8: International travel controls",4,NA,"For locals and humanitarian staff only, not applicable for foreigners:     The quarantine period for Palestinians returning to Gaza via the Israeli or Egyptian controlled crossings has been reduced from 21 to 14 days. Humanitarian staff entering Gaza are required to submit to only five days of quarantine, provided they can prove that they have tested negative in the 48-hour period prior to their arrival and after they have completed the five-day quarantine requirement and have a second negative test.    The Barrier crossings controlling the movement of tens of thousands of Palestinian workers between the West Bank and Israel, reopened on 21 September, following a three-day closure due to a Jewish holiday, despite the ongoing lockdown. Those returning to the West Bank are not requested by the Palestinian authorities to stay in quarantine or perform a COVID-19 test.    According to the UK foreign travel advice:    Foreign nationals are not permitted to enter unless they are citizens or residents of Israel. It is nearly impossible to enter the occupied Palestinian territory without entering Israel or Jordan first. Currently, the land crossing between Jordan and the Occupied Palestinian Territories is currently closed except in very limited circumstances.    http://web.archive.org/web/20201007222522/https://www.gov.uk/foreign-travel-advice/the-occupied-palestinian-territories    http://web.archive.org/web/20201007214447/https://www.ochaopt.org/content/covid-19-emergency-situation-report-18","palestine","ban on all regions/total border closure"
"Qatar","QAT",20200814,"C8: International travel controls",3,NA,"""Arrivals to the State of Qatar from low-risk countries are required to take a Coronavirus test upon arrival at the airport, and to sign a formal pledge to adhere to quarantine at home for a week.""  ""Arrivals from countries that are not included in the list of low-risk countries and in which COVID-19 testing centres have been accredited are required to obtain a virus-free certificate from there no more than 48 hours before travelling.""    Source:   https://web.archive.org/web/20200807034247/https://www.gco.gov.qa/en/2020/07/21/government-communications-office-statement-on-qatars-travel-policy-during-the-gradual-lifting-of-covid-19-restrictions/","qatar","ban arrivals from some regions"
"Romania","ROU",20200707,"C8: International travel controls",2,NA,"On 7 July, the Romanian Government released an updated list of countries whose citizens do not have to quarantine for 14 days. Countries with high levels of infection not included on the list remain subject to quarantine.  https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/romania/entry-requirements","romania","quarantine arrivals from some/ all regions"
"Russia","RUS",20201002,"C8: International travel controls",3,NA,"The Government of the Russian Federation banned the entry of foreign nationals, with a few exceptions. See: https://ru.usembassy.gov/covid-19-information/ [accessed 12th October 2020, web archive unavailable, webpage last updated 6th October 2020]","russia","ban arrivals from some regions"
"Rwanda","RWA",20200826,"C8: International travel controls",2,NA,"International tourism was resumed. ‘Tourists must have valid reservations and possess valid negative covid-19 test results’.  https://archive.vn/0lEqr    Updates from the US embassy give more details:  ' (1) Rwanda has resumed international air travel, but its land borders remain closed except for cargo and returning Rwandan citizens and residents; (2) Travelers to Rwanda must present a negative PCR COVID-19 test certificate for a test taken no more than 120 hours before their initial flight; and (3) Upon arrival to Rwanda, visitors will be taken to the designated quarantine hotel of their choice.  At the hotel, they will be tested again, at their own expense, for COVID-19.  They will be required to quarantine in their hotel room until they receive a negative COVID-19 result, approximately 24 hours after arrival.'  https://archive.vn/mXH8f","rwanda","quarantine arrivals from some/ all regions"
"Saudi Arabia","SAU",20200923,"C8: International travel controls",3,NA,"Coronavirus: Saudi Arabia to lift ban on ‘umrah’ pilgrimage to Mecca The year-round umrah pilgrimage was suspended seven months ago because of the coronavirus pandemic Saudi Arabia will allow visitors from outside the kingdom to perform umrah from November 1. https://web.archive.org/web/20201001190247/https://www.scmp.com/news/world/middle-east/article/3102670/coronavirus-saudi-arabia-lift-ban-umrah-pilgrimage-mecca","saudi arabia","ban arrivals from some regions"
"Sudan","SDN",20200925,"C8: International travel controls",3,NA,"International Travel: Limited flights resumed  Flights between Egypt, Turkey, and the UAE resumed.   Flight operations for cargo, humanitarian aid, and evacuation of oil workers or foreign nationals are unrestricted.    Link: https://web.archive.org/web/20201008192508/https://intelyse.com/coronavirus-travel-restrictions/  ","sudan","ban arrivals from some regions"
"Senegal","SEN",20200918,"C8: International travel controls",3,NA,"""The Government of Senegal has also implemented restrictions that impact entry into Senegal for certain foreign nationals. Travelers who are not citizens or residents of Senegal or a country that is a member of the Economic Community of West African States, or who do not meet certain other exemptions outlined here, may be denied entry or face difficulty traveling to Senegal. ""  http://web.archive.org/web/20200927111754/https://sn.usembassy.gov/covid-19-information/","senegal","ban arrivals from some regions"
"Singapore","SGP",20200924,"C8: International travel controls",3,NA,"""Singapore will lift border restrictions for some visitors from Australia, excluding Victoria state, and Vietnam from Oct 8, after doing so for Brunei and New Zealand earlier this month (...) From Thursday, October 1, foreigners who are short-term visitors travelling from Vietnam and Australia, excluding Victoria state, may apply for an Air Travel Pass to seek entry into Singapore. Travel will be allowed from Oct 8.    (This indicator was coded as 3 since these restrictions, and others specially for short-term visitors (http://web.archive.org/web/20201003120701/https://www.channelnewsasia.com/news/singapore/singapore-border-restrictions-australia-vietnam-travel-covid-19-13164246), are still in place at the time we are writing)    Sources: http://web.archive.org/web/20201003120518/https://www.ica.gov.sg/covid-19/arrivalsg","singapore","ban arrivals from some regions"
"Solomon Islands","SLB",20200922,"C8: International travel controls",4,NA,"22nd September 2020, Foreign nationals are banned from entering the Solomon Islands. Honiara International Airport remains closed to scheduled international flights until at least 24 October.  Only Solomon Islands citizens and residents are permitted to enter, or passengers with prior written authorization issued by the Prime Minister.     https://web.archive.org/web/20200929041025/https://www.worldnomads.com/travel-safety/oceania/solomon-islands/latest-travel-alerts-and-warnings","solomon islands","ban on all regions/total border closure"
"Sierra Leone","SLE",20200901,"C8: International travel controls",1,NA,"Arrivals remain subject to a requirement to be tested. https://web.archive.org/web/20200831092105/https://www.gov.uk/foreign-travel-advice/sierra-leone/entry-requirements","sierra leone","screening arrivals"
"El Salvador","SLV",20200919,"C8: International travel controls",1,NA,"19th September 2020 onward, El Salvador's airports resumed commercial flights after six months of travel restrictions due to the coronavirus pandemic. Incoming passengers have been required to show a negative PCR coronavirus test no more than three days old.    https://web.archive.org/web/20200929041902/https://www.republicworld.com/world-news/rest-of-the-world-news/el-salvador-ready-to-reopen-its-airport-after-lockdown.html    ","el salvador","screening arrivals"
"San Marino","SMR",20200915,"C8: International travel controls",2,NA,"""San Marino citizens, residents or residents who return from countries other than:a) Member States of the European Union;b) States party to the Schengen Agreement;c) United Kingdom of Great Britain and Northern Ireland;d) Andorra, Principality of Monaco and Vatican City State;  Page 2  have the obligation to communicate their return to the Foreign Affairs Department in advance or,in case of return for urgent reasons, to the Joint Operations Center in order to undergodiagnostic tests of COVID-19 infection. Pending the outcome of the tests, there-entrant to self-isolate. In the event that the investigations are successful, ireturning subjects are sent for home isolation. In case of negative result, they do not incur under any restrictions""  http://web.archive.org/web/20200927073707/http://www.iss.sm/on-line/home/documento49119246.html","san marino","quarantine arrivals from some/ all regions"
"Somalia","SOM",20200925,"C8: International travel controls",3,NA,"https://web.archive.org/web/*/https://www.gov.uk/foreign-travel-advice/somalia/entry-requirements  Screening on arrival – Somalia  A negative COVID-19 negative test, taken no more than 96 hours before travel, is required for entry into Somalia.    Screening on departure – Somalia  A negative COVID-19 test, taken no more than 72 hours before travel, is required for exit from Somalia.    Screening on arrival - Somaliland  A negative COVID-19 test, taken no more than 96 hours before travel, is required for entry into Somaliland. If you do not have this evidence on arrival, then you may have to spend 14 days in quarantine at your own expense in a government approved facility.    Egal International Airport has put in place additional measures to screen passengers arriving into Hargeisa by air, including temperature checks.    Those people displaying symptoms linked to the virus may be transferred to a nearby isolation facility while further tests are carried out.    Land borders  Restrictions remain in place in neighbouring countries, including land border closures and quarantine measures. You should check before travelling to the borders of Ethiopia, Djibouti or Kenya.","somalia","ban arrivals from some regions"
"Serbia","SRB",20201001,"C8: International travel controls",1,NA,"No change in policy: https://web.archive.org/save/https://www.srbija.gov.rs/news/section.php?id=151926&start=0","serbia","screening arrivals"
"South Sudan","SSD",20200922,"C8: International travel controls",1,NA,"All passengers must possess a certified negative polymerise chain reaction (PCR) test certificate dated within 96 hours of arrival. Persons 6 years old and younger are exempt.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","screening arrivals"
"Suriname","SUR",20200928,"C8: International travel controls",3,NA,"President Chandrikapersad Santokhi announced on 27 September to resume direct flights from the Netherlands; 'passengers must submit a negative COVID-19 test and are required to be quarantined for 10 days after arrival'.    https://archive.vn/P3FLp","suriname","ban arrivals from some regions"
"Slovakia","SVK",20200925,"C8: International travel controls",1,NA,"Depending on country of arrival and its risk, you have to quarantine    https://web.archive.org/web/20201004202557/https://korona.gov.sk/en/travelling-to-slovakia-and-covid19/","slovakia","screening arrivals"
"Slovenia","SVN",20200930,"C8: International travel controls",3,NA,"The EU, including Slovenia, has enacted a general ban on travel from the United States. U.S. citizens with residency in an EU country may enter Slovenia.  For other U.S. citizens who first spend two weeks in a third country, Slovenia may grant entry, depending on the country of origin.  (See Quarantine section below.)  In addition, immediate family members (but not fiancés) of Slovenian citizens coming from the United States are permitted with a transit letter from the Slovenian embassy in Washington, DC.  Travelers from the United States who are permitted entry may be subject to quarantine and Covid-19 testing.  Since ban on US still in place, 3 maintained. https://web.archive.org/web/20201001174121/https://si.usembassy.gov/covid-19-information/ ","slovenia","ban arrivals from some regions"
"Sweden","SWE",20200922,"C8: International travel controls",3,NA,"http://web.archive.org/web/*/https://www.krisinformation.se/en/hazards-and-risks/disasters-and-incidents/2020/official-information-on-the-new-coronavirus/restriktioner-och-forbud","sweden","ban arrivals from some regions"
"Eswatini","SWZ",20201002,"C8: International travel controls",2,NA,"Minister of Health Lizzie Nkosi has announced health protocols that will govern travelling into & out of Eswatini.   All travelers entering the Kingdom of Eswatini will be screened at the Points of Entry (POE) for the following:  a. COVID-19 negative certificate/Results taken within 72hrs before  entry into the country.  b. Symptoms of COVID-19  c. Country of origin and transit.  ii. Travelers who do not present a valid negative COVID-19 result or is presenting with COVID-19 symptoms or both, will be required to do the COVID-19 test at the Point of Entry at their cost.  iii. Travelers may be required to undergo a quarantine not exceeding 14 days or isolation as advised by the port health officers.     As indicated by SitReps #199 and #201 (new phrasing: ""New travel guidelines have been finalized in line with the easing of international travel.""), these new regulations came into force Oct 2nd. First announcement was made September 30th.   Announcement: https://www.facebook.com/EswatiniGov/posts/205254017634772 (Waybackmachine unavailable)  Regulations: https://web.archive.org/web/20201008135532/http://www.gov.sz/images/CORONA/health30.pdf?fbclid=IwAR38TJdhIzdCn1ovrVpCc1W4oJqehfuUYzYwOmmVZZVcpHS5jAYePwWKwM8  https://web.archive.org/web/20201008140618/http://www.gov.sz/images/CORONA/ESWATINI_COVID-19-SITREP_02.10.2020-1.pdf  https://web.archive.org/web/20201008140609/http://www.gov.sz/images/CORONA/ESWATINI_COVID-19-SITREP_04.10.2020.pdf","eswatini","quarantine arrivals from some/ all regions"
"Seychelles","SYC",20201004,"C8: International travel controls",3,NA,"Updated list of countries on 1-Oct from where visitors are allowed:   http://web.archive.org/web/20201009035324/http://www.health.gov.sc/wp-content/uploads/LIST-OF-COUNTRIES-FROM-WHICH-VISITORS-ARE-PERMITTED-3.pdf","seychelles","ban arrivals from some regions"
"Syria","SYR",20201003,"C8: International travel controls",3,NA,"""As of 3 October, Syria and neighboring countries continue to reinforce precautionary measures at border crossings to limit the virus’s spread. Most land borders into Syria remain closed, with some limited exceptions from Jordan, Turkey and  Lebanon, including commercial cargo, relief shipments, and the movement of personnel from humanitarian and international organizations.""    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","ban arrivals from some regions"
"Turks and Caicos Islands","TCA",20200814,"C8: International travel controls",1,NA,"Existing measures continue","turks and caicos islands","screening arrivals"
"Chad","TCD",20200918,"C8: International travel controls",2,NA,"Travel flights resumed on August 1st at N’Djamena airport, with four carriers (Air France, Ethiopian Airlines, Turkish Airlines and EgyptAir).  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19     According to the US embassy website, a negative PCR COVID-19 test result taken within 7 days of arrival is required for all arriving travelers 11 years and older. Arriving travelers must stay at home or in a hotel, respecting prevention measures such as social distancing, wearing a mask, and frequent handwashing for 7 days.  http://web.archive.org/web/20200928020501/https://td.usembassy.gov/covid-19-information/   ","chad","quarantine arrivals from some/ all regions"
"Togo","TGO",20200829,"C8: International travel controls",1,NA,"""Are commercial flights operating? [Yes]""    ""Are U.S. citizens required to quarantine? [Yes]    You should expect to spend one to two days under personal quarantine at a hotel or private residence in Lomé. You should limit your contact with anyone during this time. After this period, if it is determined by the Togo Ministry of Health from your nasal swab that you may have COVID-19, you will be required to quarantine for 14 to 21 days at the Eda-Oba Hotel in Lomé at your own expense until being cleared by the Ministry of Health to resume your activities in Togo.    The U.S. Embassy in Lomé will not intervene in a Togo required quarantine unless the quarantine exceeds 21 days and you have submitted to at least three nasal swab tests during quarantine.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","screening arrivals"
"Thailand","THA",20200915,"C8: International travel controls",3,NA,"""Thailand’s cabinet on Tuesday approved visas of up to 270 days for long-stay tourists as the government prepares to reopen to foreign visitors from as early as next month to help support a key sector battered by the coronavirus pandemic.""  From next month onwards, the government plans to re-open the country again to boost the tourism industry.  https://uk.reuters.com/article/idUKL4N2GC2DK","thailand","ban arrivals from some regions"
"Tajikistan","TJK",20200928,"C8: International travel controls",2,NA,"Tajikistan, Uzbekistan to discuss reopening of borders, resumption of flights.  https://web.archive.org/web/20200928123707/https://akipress.com/news:648710:Tajikistan,_Uzbekistan_to_discuss_reopening_of_borders,_resumption_of_flights/","tajikistan","quarantine arrivals from some/ all regions"
"Turkmenistan","TKM",20201001,"C8: International travel controls",4,NA,"""At present, entry to Turkmenistan is prohibited except for Turkmen nationals and accredited diplomats, permanently registered foreigners and some employees of international companies and organizations""  http://archive.today/2020.10.01-170709/https://www.gov.uk/foreign-travel-advice/turkmenistan","turkmenistan","ban on all regions/total border closure"
"Timor-Leste","TLS",20200527,"C8: International travel controls",4,NA,"The country's borders remain closed to foreign travelers, with exceptions for residents, oil-workers, and other special cases. Regular international passenger flights remain suspended and restrictions are in place at ports and land border posts. These points of entry could see even tougher restrictions under the state of emergency.    All persons must submit a pre-approval request, along with a negative COVID-19 PCR test result, to the nearest Timorese Embassy or Consulate or to the Consular Directorate of the Ministry of Foreign Affairs and Cooperation of Timor-Leste for permission to enter Timor-Leste.    All persons entering the country are required to be quarantined for 14 days in facilities established by the government, or in their respective residences subject to the pre-approval of the Ministry of Health.    Prior to the termination of the mandatory 14-day quarantine period, individuals will be subject to COVID-19 testing. Individuals must provide a negative COVID-19 test result and be cleared by the Ministry of Health before they will be authorized to leave quarantine.    Link:   https://web.archive.org/web/20201001201910/https://tl.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201001201912/https://www.garda.com/crisis24/news-alerts/367001/timor-leste-government-reinstates-state-of-emergency-august-6-update-4  https://www.garda.com/crisis24/news-alerts/367001/timor-leste-government-reinstates-state-of-emergency-august-6-update-4  http://web.archive.org/web/20200819232938/http://timor-leste.gov.tl/?p=25422&lang=en&lang=en  http://web.archive.org/web/20200819233304/http://timor-leste.gov.tl/?p=25359&lang=en&lang=en  Link: https://web.archive.org/web/20200930221220/https://tl.usembassy.gov/covid-19-information/","timor-leste","ban on all regions/total border closure"
"Trinidad and Tobago","TTO",20200912,"C8: International travel controls",4,NA,"On 12th September 2020 at the Prime Minister's Media Conference, It was announced that Trinidad and Tobago’s borders remain closed. Permanent residents outside of Trinidad and Tobago will be granted an amnesty and will not have their residency status revoked.   http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","ban on all regions/total border closure"
"Tunisia","TUN",20200926,"C8: International travel controls",2,NA,"Tunisia reopened its air, land, and sea borders on June 27, permitting entry to residents of certain countries based on a three-tiered classification of public-health risk (green, orange, and red). Upon entry, travelers in one of the excepted categories listed above are required to present the results of a negative COVID-19 PCR lab analysis test administered within 72 hours of arrival. All red list arrivals from the excepted categories should expect to quarantine at one of the Tunisian Ministry of Health quarantine facilities for two weeks.    https://web.archive.org/web/20201007114252/https://tn.usembassy.gov/covid-19-information/","tunisia","quarantine arrivals from some/ all regions"
"Turkey","TUR",20200923,"C8: International travel controls",1,NA,"""Are U.S. citizens permitted to enter? Yes    Is a negative COVID-19 test (PCR and/or serology) required for entry? No, unless you show symptoms for COVD-19 then a PCR test will be administered.   Are health screening procedures in place at airports and other ports of entry? COVID-19 control measures for air, land, and sea travel continue. Passengers arriving in Turkey will be required to complete an information form and will be checked for symptoms. Anyone suspected of having COVID-19 will be transported to a hospital for examination. If an individual on a particular aircraft/vehicle/vessel is found to have COVID-19, the information forms completed upon arrival will be used to identify others have been in contact with them; those individuals will then be subject to 14-day isolation/quarantine.   To date, tourist travelers do not need any specific health documentation to enter/exit Turkey unless they are arriving for medical treatment.""    http://web.archive.org/web/20201005130702/https://tr.usembassy.gov/covid-19-information-2/","turkey","screening arrivals"
"Tanzania","TZA",20200917,"C8: International travel controls",1,NA,"According to the US embassy website, all travelers whether foreigners or returning residents whose countries or airlines require them to provide negative testing for COVID-19 as a condition for traveling will be required to present a certificate on arrival. Travelers from other countries with symptoms and signs related to COVID-19 infection will undergo enhanced screening and may be tested on arrival.  http://web.archive.org/web/20200928033423/https://tz.usembassy.gov/covid-19-information/","tanzania","screening arrivals"
"Uganda","UGA",20200926,"C8: International travel controls",1,NA,"Entry to Uganda  Entebbe International Airport re-opened on 1 October 2020. Land borders have also re-opened. New COVID-19 standard operating procedures (SOPs) are in place for arriving and departing passengers.    On arrival at Entebbe International Airport and at land border crossings, travellers will need to provide a negative COVID-19 test certificate issued no more than 72 hours before boarding the aircraft. Airlines have been directed not to allow passengers without a negative test certificate to travel. Foreign national passengers who arrive without a valid negative test certificate will be denied entry.    You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test.    Testing/Screening on arrival  Arriving passengers will be subject to temperature checks and will be screened for infectious diseases by the Port Health authorities. If a passengers shows signs or symptoms of any infectious disease they will taken by ambulance to a local isolation centre to undergo a COVID-19 test at their own cost. Test results will be returned within 24 to 48 hours; passengers will be expected to remain at the isolation centre until the test results are returned.    If a foreign national tests positive for COVID-19 and wishes to be repatriated for treatment outside of Uganda, they will be expected to cover the costs themselves.  Source: http://web.archive.org/web/20201005152950/https://www.gov.uk/foreign-travel-advice/uganda/entry-requirements","uganda","screening arrivals"
"Ukraine","UKR",20200917,"C8: International travel controls",4,NA,"Note: Effective August 28th through September 28th, the government barred entry to Ukraine to all foreigners in an effort to slow the spread of COVID-19 (with few exceptions). See: https://ua.usembassy.gov/covid-19-information/ [web archive unavailable, accessed 28th September 2020]","ukraine","ban on all regions/total border closure"
"Uruguay","URY",20200818,"C8: International travel controls",2,NA,"President Lacalle Pou reported on Tuesday 18 that Uruguay will reopen its borders to travelers from the European Union. The measure is a gesture of reciprocity with the nations that make up that political and commercial bloc, since our country is the only one in Latin America that has been enabled since June for its citizens to enter Europe.    The requirements for people from the European Union will be similar to those established in the current decree: presentation of a negative result of COVID-19 analysis carried out at most 72 hours before the trip, a seven-day quarantine, a new swab and, depending on the result, the possibility of ""leading a normal life"", he explained.    https://web.archive.org/web/20200828141539/https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/cardoso-fronteras-europa ","uruguay","quarantine arrivals from some/ all regions"
"United States of America","USA",20200929,"C8: International travel controls",3,NA,"The United States continues to prevent arrivals from certain countries. https://web.archive.org/web/20201012074646/https://www.cdc.gov/coronavirus/2019-ncov/travelers/from-other-countries.html","united states of america","ban arrivals from some regions"
"Uzbekistan","UZB",20200924,"C8: International travel controls",3,NA,"For those who can travel, a negative COVID-19 test is required for entry within 72 hours of the initiation of travel to Uzbekistan. See: https://uz.usembassy.gov/covid-19-information/ [accessed 5 October 2020, web archive unavailable]","uzbekistan","ban arrivals from some regions"
"Venezuela","VEN",20200812,"C8: International travel controls",4,NA,"On 12 August, the National Institute of Civil Aeronautics (Inac) announced that the current restrictions on flight operations, including the ban on commercial flights, will be extended until 12 September. Domestic and international commercial flights are meant to progressively re-start from 13 September 2020 onwards.    Sources:    Inac's communiqué (Spanish)  https://web.archive.org/web/20200814094922/https://twitter.com/InacVzla/status/1293660932565086210    UK Embassy website - Venezuela travel advice   https://web.archive.org/web/20200814095042/https://www.gov.uk/foreign-travel-advice/venezuela/coronavirus","venezuela","ban on all regions/total border closure"
"British Virgin Islands","VGB",20200602,"C8: International travel controls",4,NA,"Residents permitted to return, but all others are banned until 1 September.    https://web.archive.org/web/20200807103501/https://bvi.gov.vg/media-centre/dozens-nationals-register-return-home-bvi  https://web.archive.org/web/20200901145641/https://bvi.gov.vg/media-centre/cabinet-approves-phase-2-border-re-opening-plan","british virgin islands","ban on all regions/total border closure"
"Vietnam","VNM",20200926,"C8: International travel controls",3,NA,"After two regular flights to South Korea, airlines have temporarily suspended regular international commercial flights between Vietnam and other international destinations as they wait for further detailed instructions and quarantine procedures from local authorities    https://web.archive.org/web/20201008102450/https://www.vietnam-briefing.com/news/vietnam-business-operations-and-the-coronavirus-updates.html/","vietnam","ban arrivals from some regions"
"Vanuatu","VUT",20200923,"C8: International travel controls",4,NA,"No change.","vanuatu","ban on all regions/total border closure"
