"","CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value"
"150","South Korea","KOR",20200926,"C8: International travel controls",2,NA,"There is a mandatory 14-day quarantine for all inbound travelers.   http://web.archive.org/web/20201003231019/https://kr.usembassy.gov/022420-covid-19-information/     ","south korea","quarantine arrivals from some/ all regions","KOR",20200926,"C7: Restrictions on internal movement",1,"National","The two weeks from September 28 to October 11, when the Chuseok holiday begins, are planned to be set as a special quarantine period for the whole country and strengthen quarantine management in consideration of the high risk aspect. In religious facilities, all religious activities, including worship, mass, and court, should be conducted non-face-to-face, and that all face-to-face meetings, events, and group meals should be refrained.   http://web.archive.org/web/20201003225816/http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=360146&contSeq=360146&board_id=&gubun=ALL   http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=359862&contSeq=359862&board_id=&gubun=ALL (link can’t be archived)    ","south korea","recommend not to travel between regions","KOR",20200926,"C6: Stay at home requirements",1,"National","The two weeks from September 28 to October 11, when the Chuseok holiday begins, are planned to be set as a special quarantine period for the whole country and strengthen quarantine management in consideration of the high risk aspect. In religious facilities, all religious activities, including worship, mass, and court, should be conducted non-face-to-face, and that all face-to-face meetings, events, and group meals should be refrained.   http://web.archive.org/web/20201003225816/http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=360146&contSeq=360146&board_id=&gubun=ALL   http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=359862&contSeq=359862&board_id=&gubun=ALL (link can’t be archived)    ","south korea","recommend not leaving house","KOR",20201012,"C4: Restrictions on gatherings",3,"Regional","Starting today, October 12, stage 1 of social distancing comes into effect in compliance to personal quarantine rules such as “wearing a mask, keeping a safe distance, and washing hands.”     Gatherings of more than 50 people indoors and more than 100 people outdoors ban is lifted for the general public. However, temporary gatherings are limited to one person per (4m)^2 of facility area. Moreover, facilities such as restaurants, wedding halls, and academic institutions are recommended to refrain from gatherings of 50 people indoors and 100 people outdoors.     Churches are allowed to operate in 30% of total capacity, but meals after service are prohibited.    High-risk facilities such as clubs and pubs are allowed to open with mandatory rules such as wearing face masks and managing a thorough list of visitors, restrictions on the number of people allowed follows the one person per (4m)^2 of facility area.    Archived web: https://archive.vn/w0mee","south korea","restrictions on gatherings between 11-100 people","KOR",20200902,"C5: Close public transport",0,NA,"No change in policy detected.     Link: https://web.archive.org/web/20200903084436/http://ncov.mohw.go.kr/upload/viewer/skin/doc.html?fn=1599091520803_20200903090520.pdf&rs=%2Fupload%2Fviewer%2Fresult%2F202009%2F","south korea","no measures"
"151","South Sudan","SSD",20200922,"C8: International travel controls",1,NA,"All passengers must possess a certified negative polymerise chain reaction (PCR) test certificate dated within 96 hours of arrival. Persons 6 years old and younger are exempt.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","screening arrivals","SSD",20200922,"C7: Restrictions on internal movement",0,NA,"Are there restrictions on intercity or interstate travel? No.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","no measures","SSD",20200922,"C6: Stay at home requirements",0,NA,"Effective Wednesday, September 16, the Higher Committee for Public Health Emergencies lifted the 6:00 p.m. – 6:00 a.m. curfew that had been in place for Khartoum since July 8.  The Committee also announced that the state of health emergency continues and reminded the community of the importance of observing health measures necessary to limit the transmission and spread of the epidemic.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","no measures","SSD",20200922,"C4: Restrictions on gatherings",3,"National","Public rallies are not allowed, and public gatherings for funerals are limited to a maximum of 50 people.    https://web.archive.org/web/20201007084146/https://www.gov.uk/foreign-travel-advice/south-sudan/coronavirus","south sudan","restrictions on gatherings between 11-100 people","SSD",20200922,"C5: Close public transport",0,NA,"Interstate and intercity public transportation is fully operational.    https://web.archive.org/web/20201007083020/https://sd.usembassy.gov/covid-19-information/","south sudan","no measures"
"152","Spain","ESP",20201009,"C8: International travel controls",3,NA,"By October 9, all non-essential travel to Spain is strongly discouraged.    Link:  https://web.archive.org/web/20201011210832/https://www.gov.uk/foreign-travel-advice/spain","spain","ban arrivals from some regions","ESP",20200930,"C7: Restrictions on internal movement",2,"Regional","On September 30, the Ministry of Health (Ministerio de Sanidad) announces that the Government and Autonomous Communities (CCAA) stating, ""Populations with more than 100,000 inhabitants that have an incidence of more than 500 cases per 100,000 people in the last 14 days, a positivity of diagnostic tests for active infection greater than 10% and that are in CCAA with an ICU bed occupancy per Covid-19 patients greater than 35% of the usual allocation will have to take special measures.""    Special measures include strict restriction of entry and exit of people from the affected municipalities. Circulation on highways and roads that pass or cross these municipalities will be allowed as long as it has its origin and destination outside of them.    Link:  https://web.archive.org/web/20201005180741/https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=5066    Code remains at 2T as the policy is in place for nince cities or municipalities across the country. ","spain","restrictions in place","ESP",20201009,"C6: Stay at home requirements",1,"Regional","The Ministry of Health (Ministerio de Sanidad) declares a State of Emergency (Estado de Alarma) for nine municipalities: Alcobendas, Madrid, Alcorcon, Fuenlabrada, Getafe, Leganes, Mostoles, Parla, y Torrejon de Ardoz. NO new containment or closure measures are implemented.    Link:  https://web.archive.org/web/20201011194512/https://twitter.com/sanidadgob/status/1314559307019681792","spain","recommend not leaving house","ESP",20201009,"C4: Restrictions on gatherings",4,"Regional","The Ministry of Health (Ministerio de Sanidad) declares a State of Emergency (Estado de Alarma) for nine municipalities: Alcobendas, Madrid, Alcorcon, Fuenlabrada, Getafe, Leganes, Mostoles, Parla, y Torrejon de Ardoz. NO new containment or closure measures are implemented.    Link:  https://web.archive.org/web/20201011194512/https://twitter.com/sanidadgob/status/1314559307019681792","spain","restrictions on gatherings of <= 10 people","ESP",20200901,"C5: Close public transport",0,NA,"No change in policy found ","spain","no measures"
"153","Sri Lanka","LKA",20200831,"C8: International travel controls",1,NA,"Still in place.    Airports resumed operations from August 1st. https://web.archive.org/web/20200622001103/https://www.wionews.com/sri-lanka/sri-lanka-further-relaxes-covid-19-curfew-305660    Tourism and Hotel Sector       Opening of hotels is to strictly adhere to government approvals.  All staff are to be given a detailed briefing on the safety measures to be observed in the upcoming weeks.  Strict log of all guests with their contact numbers needs to be maintained by the management.  All foreign guests need to show proof of travel and health insurance prior to checking in, to cover any possible cost of treatment/hospitalisation.    https://archive.fo/Fiv2b","sri lanka","screening arrivals","LKA",20200831,"C7: Restrictions on internal movement",0,NA,"There is currently no policy on restrictions on internal movement. Safety measures are guided to passengers using public transport. ""Passengers are advised to queue with a 1m distance at the station. After getting down, hands should be washed for a minimum of 20 seconds"".     See Pulse article, archived: https://archive.fo/Fiv2b","sri lanka","no measures","LKA",20200819,"C6: Stay at home requirements",1,"National","""Individuals with respiratory symptoms or fever are to refrain from leaving their houses until advised to do so by a medical expert"".    See Pulse article, archived: https://archive.fo/Fiv2b","sri lanka","recommend not leaving house","LKA",20200910,"C4: Restrictions on gatherings",2,"National","Hotel management needs to accommodate only up to 50% of the venue’s capacity and have it capped at 100 guests per event  https://archive.fo/Fiv2b#selection-1905.0-1905.119","sri lanka","restrictions on gatherings between 101-1000 people","LKA",20200831,"C5: Close public transport",0,NA,"Guidelines for using public transport are available by the Ministry of Health and Indigenous Medical Sciences. See guidelines, archived: http://web.archive.org/web/20200909113316/http://www.pmoffice.gov.lk/download/press/D00000000011_EN.pdf","sri lanka","no measures"
"154","Sudan","SDN",20200925,"C8: International travel controls",3,NA,"International Travel: Limited flights resumed  Flights between Egypt, Turkey, and the UAE resumed.   Flight operations for cargo, humanitarian aid, and evacuation of oil workers or foreign nationals are unrestricted.    Link: https://web.archive.org/web/20201008192508/https://intelyse.com/coronavirus-travel-restrictions/  ","sudan","ban arrivals from some regions","SDN",20200925,"C7: Restrictions on internal movement",0,NA,"Interstate and intercity public transportation is fully operational.  Link: https://web.archive.org/web/20201008003833/https://sd.usembassy.gov/covid-19-information/","sudan","no measures","SDN",20200926,"C6: Stay at home requirements",0,NA,"Sudanese authorities announced that the 18:00 - 06:00 (local time) curfew in Khartoum state will be lifted from Saturday, September 26, amid the easing of coronavirus disease (COVID-19) restrictions in the country. The curfew was previously extended on July 8, due to a rise in the number of COVID-19 cases in the state.     Contrasting info on exact date - may be Sept 16.    Link:     Link: https://web.archive.org/web/20201008194924/https://www.worldaware.com/intelligence-alert-sudan-restrictions-nationwide-upd-13  https://web.archive.org/web/20201008194900/https://www.garda.com/crisis24/news-alerts/383506/sudan-authorities-lift-curfew-in-khartoum-state-as-of-september-26-update-17  https://web.archive.org/web/20201008195301/https://sd.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201008195324/https://allafrica.com/stories/202009170251.html  https://web.archive.org/web/20201008195351/https://allafrica.com/stories/202009170954.html","sudan","no measures","SDN",20200925,"C4: Restrictions on gatherings",3,"National","No information found. Assume that policy is cotinued.","sudan","restrictions on gatherings between 11-100 people","SDN",20200924,"C5: Close public transport",0,NA,"Interstate and intercity public transportation is fully operational.  Link: https://web.archive.org/web/20201008003833/https://sd.usembassy.gov/covid-19-information/","sudan","no measures"
"155","Suriname","SUR",20200928,"C8: International travel controls",3,NA,"President Chandrikapersad Santokhi announced on 27 September to resume direct flights from the Netherlands; 'passengers must submit a negative COVID-19 test and are required to be quarantined for 10 days after arrival'.    https://archive.vn/P3FLp","suriname","ban arrivals from some regions","SUR",20200915,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel.    Source: http://web.archive.org/web/20200923123510/https://sr.usembassy.gov/covid-19-information","suriname","no measures","SUR",20200928,"C6: Stay at home requirements",2,"National","President Chandrikapersad Santokhi announced on 27 September a 2-week extension of 'the curfew [which was to end  on 27 September], but that it will now start one hour later at 9.00 pm to 5.00 am (local time) due to the restart of schools across the country'.    https://archive.vn/P3FLp","suriname","require not leaving house except for essentials","SUR",20200828,"C4: Restrictions on gatherings",4,"National","The Government of Suriname has announced a “total lockdown” as a countermeasure to the spread of COVID-19 from Friday, August 28 at 8pm to Sunday, August 30 at 5am. People are instructed to stay home during this time. The Government of Suriname has also instituted a daily nationwide curfew between the hours of 8pm to 5am. The curfew will remain in place until further announcement by the Government of Suriname. Violators of the lockdown or curfew measures may be fined.   https://sr.usembassy.gov/health-alert-u-s-embassy-paramaribo-suriname-35/","suriname","restrictions on gatherings of <= 10 people","SUR",20200915,"C5: Close public transport",0,NA,"Public transportation is operating and taxis and buses are available.    Source: http://web.archive.org/web/20200923123510/https://sr.usembassy.gov/covid-19-information","suriname","no measures"
"156","Sweden","SWE",20200922,"C8: International travel controls",3,NA,"http://web.archive.org/web/*/https://www.krisinformation.se/en/hazards-and-risks/disasters-and-incidents/2020/official-information-on-the-new-coronavirus/restriktioner-och-forbud","sweden","ban arrivals from some regions","SWE",20200922,"C7: Restrictions on internal movement",0,NA,"http://web.archive.org/web/*/https://www.krisinformation.se/en/hazards-and-risks/disasters-and-incidents/2020/official-information-on-the-new-coronavirus/domestic-travel-and-public-transport","sweden","no measures","SWE",20200821,"C6: Stay at home requirements",0,NA,"No change in policy found. ","sweden","no measures","SWE",20200922,"C4: Restrictions on gatherings",3,"National","http://web.archive.org/web/*/https://www.krisinformation.se/en/hazards-and-risks/disasters-and-incidents/2020/official-information-on-the-new-coronavirus/restriktioner-och-forbud","sweden","restrictions on gatherings between 11-100 people","SWE",20200821,"C5: Close public transport",0,NA,"No change in policy found. ","sweden","no measures"
"157","Switzerland","CHE",20200929,"C8: International travel controls",3,NA," the Switzerland has largely followed the EU Council recommendations regarding entry requirements of non-EU citizens. Third country nationals who do not have rights of free movement and do not hold a valid permit allowing them to live or work in Switzerland will be refused entry.  ","switzerland","ban arrivals from some regions","CHE",20200606,"C7: Restrictions on internal movement",0,NA,"As of 6 June 2020, there are no more restrictions on workplaces.    The only remaining restrictions are on gatherings in public of more than 30 people, events or demonstrations with more than 300 people and sports competition involving close physical contact.  Keeping a distance, wearing a mask and observing hygiene rules still applies    (see http://web.archive.org/web/20200611185821/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html)","switzerland","no measures","CHE",20200622,"C6: Stay at home requirements",0,NA,"Effective on 22 June 2020 ""the recommendation to work from home and specific requirements for protecting people at especially high risk have been lifted.""    Based on this, it seems cleanest to also change C6 to 0 on 22 June 2020.    However:  The German-language ""recommendations"" already dropped the recommendation to stay at home on or before 17 June (http://web.archive.org/web/20200617130505/https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/empfehlungen-fuer-den-alltag.html) but after 6 June (see that entry).    WARNING: the English language version of ""New coronavirus: Recommendations for everyday life"" at the Federal Office of Public Health FOPH keeps stating ""That's why we should generally still stay at home.""  In this inconsistency between the English-language and the German/French/Italian-language version, it is taken that the German/French/Italian versions are the authoritative ones!  So DO NOT rely on the English version for this topic.  ","switzerland","no measures","CHE",20200929,"C4: Restrictions on gatherings",3,"Regional","Limit to 100 of the number of participants in private events in the Canton of Vaud.  http://web.archive.org/web/20201009023524/https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/covid-19-les-nouvelles-mesures-a-appliquer-a-partir-du-17-septembre-15h/   ","switzerland","restrictions on gatherings between 11-100 people","CHE",20200706,"C5: Close public transport",0,NA,"""In view of the increasing volume of people travelling and the rising number of new infections since mid-June, the Federal Council has decided to make masks compulsory on public transport throughout the country from Monday, 6 July 2020. ""    (from http://web.archive.org/web/20200629235323/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html)","switzerland","no measures"
"158","Syria","SYR",20201003,"C8: International travel controls",3,NA,"""As of 3 October, Syria and neighboring countries continue to reinforce precautionary measures at border crossings to limit the virus’s spread. Most land borders into Syria remain closed, with some limited exceptions from Jordan, Turkey and  Lebanon, including commercial cargo, relief shipments, and the movement of personnel from humanitarian and international organizations.""    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","ban arrivals from some regions","SYR",20201003,"C7: Restrictions on internal movement",0,NA,"The travel ban between and within governorates remains lifted.    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","no measures","SYR",20201003,"C6: Stay at home requirements",0,NA,"""The GoS continues to maintain a widespread easing of preventive measures introduced throughout May, albeit with some ongoing changes. The daily curfew remains lifted (...)""    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","no measures","SYR",20201003,"C4: Restrictions on gatherings",2,"Regional","Local authorities have lifted the ban on mass gatherings, however, ""ad-hoc suspension of prayers in some locations well as closures of wedding halls(...)"" has been reported recently.    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","restrictions on gatherings between 101-1000 people","SYR",20201003,"C5: Close public transport",0,NA,"""Public and private transportation services have resumed (...)""    Source: http://web.archive.org/web/20201007145248/https://reliefweb.int/sites/reliefweb.int/files/resources/finala_covid_response_update_no._11_.pdf","syria","no measures"
"159","Tajikistan","TJK",20200928,"C8: International travel controls",2,NA,"Tajikistan, Uzbekistan to discuss reopening of borders, resumption of flights.  https://web.archive.org/web/20200928123707/https://akipress.com/news:648710:Tajikistan,_Uzbekistan_to_discuss_reopening_of_borders,_resumption_of_flights/","tajikistan","quarantine arrivals from some/ all regions","TJK",20200908,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel. See: https://tj.usembassy.gov/covid-19-information/ (web archive no available, page updated last on September 3, accessed 17th September 2020)","tajikistan","no measures","TJK",20200908,"C6: Stay at home requirements",0,NA,"There is no curfew in place","tajikistan","no measures","TJK",20200908,"C4: Restrictions on gatherings",2,"National","Large events are prohibited. See: https://tj.usembassy.gov/covid-19-information/ (web archive no available, page updated last on September 3, accessed 17th September 2020)","tajikistan","restrictions on gatherings between 101-1000 people","TJK",20200828,"C5: Close public transport",0,NA,"As of 15 August 2020, public transport in Dushanbe has been putted in full capacity. https://web.archive.org/web/20200907103641/https://reliefweb.int/report/tajikistan/covid-19-tajikistan-situation-report-15-18-august-2020","tajikistan","no measures"
"160","Tanzania","TZA",20200917,"C8: International travel controls",1,NA,"According to the US embassy website, all travelers whether foreigners or returning residents whose countries or airlines require them to provide negative testing for COVID-19 as a condition for traveling will be required to present a certificate on arrival. Travelers from other countries with symptoms and signs related to COVID-19 infection will undergo enhanced screening and may be tested on arrival.  http://web.archive.org/web/20200928033423/https://tz.usembassy.gov/covid-19-information/","tanzania","screening arrivals","TZA",20200917,"C7: Restrictions on internal movement",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no measures","TZA",20200917,"C6: Stay at home requirements",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no measures","TZA",20200917,"C4: Restrictions on gatherings",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no restrictions","TZA",20200917,"C5: Close public transport",0,NA,"According to the IMF website, effective June 1, 2020, the authorities allowed the opening of upper-secondary and tertiary schools and the resumption of sport activities and events. On June 29, 2020 all other educational institutions reopened. As a result, all the restrictions due to Covid-19 have been lifted by July 2020.  http://web.archive.org/web/20200928023258/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19   ","tanzania","no measures"
"161","Thailand","THA",20200915,"C8: International travel controls",3,NA,"""Thailand’s cabinet on Tuesday approved visas of up to 270 days for long-stay tourists as the government prepares to reopen to foreign visitors from as early as next month to help support a key sector battered by the coronavirus pandemic.""  From next month onwards, the government plans to re-open the country again to boost the tourism industry.  https://uk.reuters.com/article/idUKL4N2GC2DK","thailand","ban arrivals from some regions","THA",20200922,"C7: Restrictions on internal movement",1,"National","There is no curfew in place or restrictions on intercity or interstate travel. See: https://th.usembassy.gov/u-s-citizen-services/covid-19-information/ [accessed 5 October 2020, webpage last updated on 1 October 2020, web archive unavailable]","thailand","recommend not to travel between regions","THA",20200922,"C6: Stay at home requirements",1,"National","There is no curfew in place. See: https://th.usembassy.gov/u-s-citizen-services/covid-19-information/ [accessed 5 October 2020, webpage last updated on 1 October 2020, web archive unavailable]","thailand","recommend not leaving house","THA",20200731,"C4: Restrictions on gatherings",2,"National","on 1st August 2020, Through press release, the Ministry of Public Health asked for cooperation from people to keep practicing the protection measures to prevent COVID-19 including wearing a face mask/cloth mask at all times when they leave the residence, washing their hands frequently, avoiding touch face, nose and mouth, keeping space from others, and avoiding visiting crowded places or talking with others in close proximity.     https://web.archive.org/web/20200814000431/https://ddc.moph.go.th/viralpneumonia/eng/file/news/news_no187_010863.pdf","thailand","restrictions on gatherings between 101-1000 people","THA",20200907,"C5: Close public transport",0,NA,"""Domestic Flights to Resume Under Strict Guidelines: The CAAT has announced new guidelines for the operation of domestic flights within Thailand.  The key measures include: 1) passengers must wear face masks and gloves at all times; 2) passengers must adhere to airlines’ social distancing requirements from check-in and boarding through landing and there must be empty seats between passengers; 3) flight crews will wear masks and gloves at all times; and 4) flight crews will not serve food or beverages on the plane and passengers are prohibited from bringing outside food on the plane.""  https://th.usembassy.gov/u-s-citizen-services/covid-19-information/","thailand","no measures"
"162","Timor-Leste","TLS",20201001,"C8: International travel controls",4,NA,"Individuals of foreign nationality wishing to enter national territory via the land border must apply for registration and ask for entry permit (humanitarian or contracted workers) at consular offices.    Link: https://web.archive.org/web/20201014013705/http://timor-leste.gov.tl/wp-content/uploads/2020/10/EN-CdI_RCM_2020-10-03.pdf","timor-leste","ban on all regions/total border closure","TLS",20200820,"C7: Restrictions on internal movement",0,NA,"No Restrictions    https://web.archive.org/web/20200831010604/https://tl.usembassy.gov/covid-19-information/","timor-leste","no measures","TLS",20200820,"C6: Stay at home requirements",0,NA,"""Is public transportation operating? Yes   However, all individuals who have any of the following symptoms – body temperature higher than 37.5 degrees Celsius, cough, sore throat, cold, and respiratory distress or shortness of breath – are prohibited from boarding buses, ships, or aircrafts except in cases of medical evacuation.""    https://web.archive.org/web/20200831010604/https://tl.usembassy.gov/covid-19-information/","timor-leste","no measures","TLS",20200820,"C4: Restrictions on gatherings",0,NA,"No policy change","timor-leste","no restrictions","TLS",20200820,"C5: Close public transport",0,NA,"No closure. https://web.archive.org/web/20200831010604/https://tl.usembassy.gov/covid-19-information/","timor-leste","no measures"
"163","Togo","TGO",20200829,"C8: International travel controls",1,NA,"""Are commercial flights operating? [Yes]""    ""Are U.S. citizens required to quarantine? [Yes]    You should expect to spend one to two days under personal quarantine at a hotel or private residence in Lomé. You should limit your contact with anyone during this time. After this period, if it is determined by the Togo Ministry of Health from your nasal swab that you may have COVID-19, you will be required to quarantine for 14 to 21 days at the Eda-Oba Hotel in Lomé at your own expense until being cleared by the Ministry of Health to resume your activities in Togo.    The U.S. Embassy in Lomé will not intervene in a Togo required quarantine unless the quarantine exceeds 21 days and you have submitted to at least three nasal swab tests during quarantine.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","screening arrivals","TGO",20200829,"C7: Restrictions on internal movement",1,"Regional","""Is public transportation operating? [Yes]""     ""Is a curfew in place? [Yes]    On July 9, the Government lifted the curfew that was put in place on April 1.    Source: Covid-19.gouv  Are there restrictions on intercity or interstate travel? [Yes]    On August 24, the Government of Togo imposed a curfew in Sokodé (211 miles north of Lomé) and in the neighboring cities of Tchamba (19 miles east of Sokodé) and Adjengré (27 miles south). These measures are intended to limit a possible spread of COVID-19 cases in those locations following an increase in cases there. All land border crossings with Ghana, Burkina Faso and Benin remain closed. If you reside outside of Togo in West Africa,  please contact the U.S. Embassy in your country for assistance. For a detailed list of the flights available in country, visit our COVID-19 page.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","recommend not to travel between regions","TGO",20200829,"C6: Stay at home requirements",1,"National","Is a curfew in place? [Yes]    On July 9, the Government lifted the curfew that was put in place on April 1.    Source: Covid-19.gouv  Are there restrictions on intercity or interstate travel? [Yes]    On August 24, the Government of Togo imposed a curfew in Sokodé (211 miles north of Lomé) and in the neighboring cities of Tchamba (19 miles east of Sokodé) and Adjengré (27 miles south). These measures are intended to limit a possible spread of COVID-19 cases in those locations following an increase in cases there. All land border crossings with Ghana, Burkina Faso and Benin remain closed. If you reside outside of Togo in West Africa,  please contact the U.S. Embassy in your country for assistance. For a detailed list of the flights available in country, visit our COVID-19 page.    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","recommend not leaving house","TGO",20200829,"C4: Restrictions on gatherings",3,"National","""Last Updated: 09/04/2020  While numbers of COVID-19 cases remain relatively low in Togo, the country extended its state of emergency for the second time, until Sept. 15. Borders are closed, public meetings of more than 15 people are banned, and schools are closed except for certain grades in which exams are mandatory. Masks are required in public. Churches are partially opened.""    Source: http://web.archive.org/web/20200913233915/https://www.compassion.com/crisis/covid-19/togo-covid19.htm","togo","restrictions on gatherings between 11-100 people","TGO",20200829,"C5: Close public transport",0,NA,"""Is public transportation operating? [Yes]    Services continue with reduced passengers. All moto-taxis and their passengers must wear face masks per government decree.""    Source: http://web.archive.org/web/20200913222242/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/  ","togo","no measures"
"164","Trinidad and Tobago","TTO",20200912,"C8: International travel controls",4,NA,"On 12th September 2020 at the Prime Minister's Media Conference, It was announced that Trinidad and Tobago’s borders remain closed. Permanent residents outside of Trinidad and Tobago will be granted an amnesty and will not have their residency status revoked.   http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","ban on all regions/total border closure","TTO",20200912,"C7: Restrictions on internal movement",2,"Regional","As announced at the Prime Minister's Media Conference on 12th September 2020, air and sea bridge Transportation to Tobago remain limited to essential activities until October 11th 2020  http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","restrictions in place","TTO",20200912,"C6: Stay at home requirements",1,"National","As announced at the Prime Minister's Media Conference on 12th September 2020, Existing Regulations are extended until October 11th 2020.   http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","recommend not leaving house","TTO",20200912,"C4: Restrictions on gatherings",4,"National","As announced at the Prime Minister's Media Conference on 12th September 2020, The existing  Regulations  will remain in effect until October 11th 2020. Public gatherings remain limited to 5 people while Funeral and Weddings remain limited to 10 persons.  http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","restrictions on gatherings of <= 10 people","TTO",20200912,"C5: Close public transport",1,"National","As announced at the Prime Minister's Media Conference on 12th September 2020, Maxi-Taxis will be allowed to operate at a 65 per cent capacity. The Ministry of Health has approved a seating arrangement map which will allow for physical distancing to be maintained in the vehicles.   http://web.archive.org/web/20200924204456/https://www.opm.gov.tt/prime-ministers-media-conference-saturday-12th-september-2020/ ","trinidad and tobago","recommend closing/ significantly reduce volume"
