"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Syria","SYR",20201202,"C4: Restrictions on gatherings",2,"Regional","Unable to find any updates since last week - https://web.archive.org/web/20201201022737/https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-covid-19-humanitarian-update-no-21-30-november-2020","syria","restrictions on gatherings between 101-1000 people"
"Chad","TCD",20201102,"C4: Restrictions on gatherings",4,"National","No change","chad","restrictions on gatherings of <= 10 people"
"Togo","TGO",20201130,"C4: Restrictions on gatherings",2,"National","The US State Department specifically cites that some religious entities are still allowed to hold services. Detail is not granular. https://web.archive.org/web/20201207153424/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/ ","togo","restrictions on gatherings between 101-1000 people"
"Thailand","THA",20201122,"C4: Restrictions on gatherings",2,"National","No updates or changes noted  https://web.archive.org/web/20201129195756/https://thailand.prd.go.th/ewt_news.php?nid=10434&filename=index  https://web.archive.org/web/20201129200850/https://thailand.prd.go.th/more_news.php?cid=2&filename=index","thailand","restrictions on gatherings between 101-1000 people"
"Tajikistan","TJK",20201129,"C4: Restrictions on gatherings",2,"National","No policy changes with the newest updated information.  Link:  https://web.archive.org/web/20201204213251/https://tj.usembassy.gov/covid-19-information/","tajikistan","restrictions on gatherings between 101-1000 people"
"Turkmenistan","TKM",20201208,"C4: Restrictions on gatherings",1,"National","The government continues to impose measures to restrict large gatherings. But the cap on the number of people is not clear.  It should also be noted that the Turkmenistan government still insists the country is coronavirus-free.     ""Mosques and places of pilgrimage are closed and large gatherings are restricted.""    http://web-old.archive.org/web/20201208052008/https://www.gov.uk/foreign-travel-advice/turkmenistan/coronavirus    http://web-old.archive.org/web/20201208051714/https://tm.usembassy.gov/covid-19-information/","turkmenistan","restrictions on gatherings > 1000 people"
"Timor-Leste","TLS",20201204,"C4: Restrictions on gatherings",0,NA,"A State of Emergency is in effect through 11:59 PM, January 2, 2021. No restrictions or curfew in place.    ""The government is also encouraging people to avoid crowds."" However, no official notice is available regarding the crowd sizes.    https://web.archive.org/web/20201207150049/https://tl.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201207145830/https://www.garda.com/crisis24/news-alerts/407056/timor-leste-authorities-extend-nationwide-state-of-emergency-through-jan-2-2021-update-11","timor-leste","no restrictions"
"Trinidad and Tobago","TTO",20201124,"C4: Restrictions on gatherings",3,"National","No evident policy change.    http://web.archive.org/web/20201207151101/https://www.covid19.gov.tt/the-public-health-2019-novel-coronavirus-2019-ncov-no-31-regulations-2020/","trinidad and tobago","restrictions on gatherings between 11-100 people"
"Tunisia","TUN",20201125,"C4: Restrictions on gatherings",4,"National","no changes since last update  https://archive.is/2AeOR ","tunisia","restrictions on gatherings of <= 10 people"
"Turkey","TUR",20201202,"C4: Restrictions on gatherings",4,"Regional","Starting with 12th of September, a ban on concerts and festivals in public spaces has been introduced.  Link: https://archive.fo/wip/CTqsq ","turkey","restrictions on gatherings of <= 10 people"
"Tanzania","TZA",20201122,"C4: Restrictions on gatherings",0,NA,"No policy change","tanzania","no restrictions"
"Uganda","UGA",20201124,"C4: Restrictions on gatherings",2,"National","""At the onset of the election campaigns, the Electoral Commission (EC) issued guidelines in line with measures to control the spread of Covid-19. The guidelines banned physical rallies and restricted town hall meetings to 70 people. This number was recently revised to 200 people per meeting. The presidential and other candidates seeking political office at various levels are expected to observe them throughout the election period with maximum compliance to the Standard Operating Procedures (SOPs) issued by the Ministry of Health. As the presidential candidates traverse the country selling their agenda to voters, a disturbing trend has emerged where some candidates or their agents are addressing large crowds in blatant violation of set guidelines to control the spread of Covid-19.""","uganda","restrictions on gatherings between 101-1000 people"
"Ukraine","UKR",20201123,"C4: Restrictions on gatherings",3,"Regional","No evidence of additional policy changes. Adaptive quarantine in place until December 31 and weekend quarantine continues to November 30.    https://web.archive.org/web/20201125013008/https://www.kmu.gov.ua/en/timeline?type=posts&category_id=13&tag=Healthcare","ukraine","restrictions on gatherings between 11-100 people"
"Uruguay","URY",20201117,"C4: Restrictions on gatherings",2,"National","No evident policy change.    http://web.archive.org/web/20201130032754/https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-interior-emergencia-sanitaria-covid19","uruguay","restrictions on gatherings between 101-1000 people"
"United States of America","USA",20201201,"C4: Restrictions on gatherings",4,"Regional","Several states such as Illinois and California have strict limitations on social gatherings.     In Illinois, Executive Order 2020-73 limited outdoor gatherings to no more than 10 people and recommended social distancing at all times.    Source: https://web.archive.org/web/20201130122507/https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-73.aspx    All public and private gatherings with individuals not in one's household are prohibited, except for faith based services and protests in Los Angeles, California.    Source: https://web.archive.org/web/20201130084341/http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2830","united states of america","restrictions on gatherings of <= 10 people"
"Uzbekistan","UZB",20201108,"C4: Restrictions on gatherings",3,"National","From September 5 onwards, public prayers are allowed in religious organisations with no upper limit of crowd size. However, other gatherings are limited to 30 persons. See Ministry of Health telegram channel, archived: https://web.archive.org/web/20201107121041/https://t.me/s/ssvuz/2822 AND https://web.archive.org/web/20201107124206/https://t.me/s/koronavirusinfouz/5657","uzbekistan","restrictions on gatherings between 11-100 people"
"Venezuela","VEN",20201016,"C4: Restrictions on gatherings",4,"National","Policy still valid, ""public gatherings are prohibited and people have been instructed to wear face covering at all times when outside.""  Link: https://web.archive.org/web/20200903132143/https://www.gov.uk/foreign-travel-advice/venezuela/coronavirus","venezuela","restrictions on gatherings of <= 10 people"
"Vietnam","VNM",20201103,"C4: Restrictions on gatherings",3,"Regional","The Vietnamese government continues to advise all people in Vietnam to wear face masks in public places and to avoid large gatherings.  Vietnamese media previously reported several cases involving fines for individuals not wearing face coverings in areas where strict social distancing requirements are in place.    https://web.archive.org/web/20201116113215/https://vn.usembassy.gov/u-s-citizen-services/covid-19-information/","vietnam","restrictions on gatherings between 11-100 people"
"Vanuatu","VUT",20201117,"C4: Restrictions on gatherings",0,NA,"No change in policy.","vanuatu","no restrictions"
"Yemen","YEM",20201027,"C4: Restrictions on gatherings",0,NA,"in response to the COVID-19 pandemic, the local authorities of Yemen declared a nationwide health emergency and introduced many preventative measures similar to those adopted by rest of the world starting in March 2020 in order to reduce the transmission of COVID-19. These measures include the adoption of restrictions on movement countrywide.     But there is no specific restriction on public gathering but this maybe not be required as the on going civil war make gathering risky.    https://web.archive.org/web/20201029155916/https://reliefweb.int/report/yemen/covid-19-movement-restrictions-yemen-mobility-restriction-dashboard-14-21-october-2020","yemen","no restrictions"
"South Africa","ZAF",20201130,"C4: Restrictions on gatherings",3,"National","""Several of the most severe outbreaks emanated from large events, and it’s been decided to halve the permitted size of outdoor public gatherings to 250 people in virus hotspots, according to the president. Indoor meetings will be restricted to 100 people, down from a previous limit of 250, he said. All post-funeral gatherings will be prohibited.  ...  All post-funeral gatherings will be prohibited.""    https://web.archive.org/web/20201207065904/https://www.bloomberg.com/tosv2.html?vid=&uuid=b1891d10-3859-11eb-8a9c-03e7ee6fcdf8&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0xMi0wMy9yYW1hcGhvc2EtcmVpbnN0YXRlcy1jdXJicy1pbi1zb3V0aC1hZnJpY2FuLXZpcnVzLWhvdHNwb3Q=","south africa","restrictions on gatherings between 11-100 people"
"Zambia","ZMB",20201116,"C4: Restrictions on gatherings",4,"National","No new guidance: https://archive.vn/spYph","zambia","restrictions on gatherings of <= 10 people"
"Zimbabwe","ZWE",20201030,"C4: Restrictions on gatherings",3,"National","No policy change - this information is still relevant: https://web.archive.org/web/20201027054244/https://zw.usembassy.gov/covid-19-information-2/","zimbabwe","restrictions on gatherings between 11-100 people"
"Taiwan","TWN",20201117,"C4: Restrictions on gatherings",0,NA,"No change in policy.","taiwan","no restrictions"
"Kosovo","RKS",20201129,"C4: Restrictions on gatherings",4,"National","No change found.","kosovo","restrictions on gatherings of <= 10 people"
