"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Suriname","SUR",20201122,"C8: International travel controls",4,NA,"Restrictions in response to coronavirus  Restrictions include enhanced medical screening and border closures, which is stopping people travelling into and out of the country and limiting those who wish to leave.   Although I have two websites which indicate that borders are closed, I also have one which says the border is partially open.  Sources for border closure: http://web.archive.org/web/20201127104117/https://www.gov.uk/foreign-travel-advice/suriname/entry-requirements  http://web.archive.org/web/20201127104343/https://www.tripsguard.com/destination/suriname/  Source for partial closure: http://web.archive.org/web/20201127104810/https://sr.usembassy.gov/covid-19-information/","suriname","ban on all regions/total border closure"
"Slovakia","SVK",20201126,"C8: International travel controls",2,NA,"There are new entry and exit requirements as of 26 November, quarantine is still required based on risk level.    https://web.archive.org/web/20201205231632/https://sk.usembassy.gov/covid-19-information/","slovakia","quarantine arrivals from some/ all regions"
"Slovenia","SVN",20201202,"C8: International travel controls",2,NA,"No changes found  Links -   http://web.archive.org/web/20201207211050/https://si.usembassy.gov/covid-19-information/  http://web.archive.org/web/20201207211120/https://www.gov.si/en/topics/coronavirus-disease-covid-19/","slovenia","quarantine arrivals from some/ all regions"
"Sweden","SWE",20201201,"C8: International travel controls",3,NA,"No change since last entry","sweden","ban arrivals from some regions"
"Eswatini","SWZ",20201124,"C8: International travel controls",2,NA,"Incoming travels are told to quarantine for 14 days upon arrival    https://web.archive.org/web/20201206224023/https://sz.usembassy.gov/covid-19-information/","eswatini","quarantine arrivals from some/ all regions"
"Seychelles","SYC",20201116,"C8: International travel controls",3,NA,"List of countries has changed a bit: https://archive.vn/WbBlC  but a ban is still in place for some countries","seychelles","ban arrivals from some regions"
"Syria","SYR",20201202,"C8: International travel controls",3,NA,"Unable to find any updates since last week - https://web.archive.org/web/20201201022737/https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-covid-19-humanitarian-update-no-21-30-november-2020","syria","ban arrivals from some regions"
"Chad","TCD",20201102,"C8: International travel controls",2,NA,"No change","chad","quarantine arrivals from some/ all regions"
"Togo","TGO",20201117,"C8: International travel controls",2,NA,"Are U.S. citizens required to quarantine? Yes  You should expect to spend one to two days under personal quarantine at a hotel or private residence in Lomé. You should limit your contact with anyone during this time. After this period, if it is determined by the Togo Ministry of Health from your nasal swab that you may have COVID-19, you will be required to quarantine for 14 to 21 days at the Eda-Oba Hotel in Lomé at your own expense until being cleared by the Ministry of Health to resume your activities in Togo.  http://web.archive.org/web/20201129090128/https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/","togo","quarantine arrivals from some/ all regions"
"Thailand","THA",20201201,"C8: International travel controls",2,NA,"'The Tourism Authority of Thailand (TAT), in partnership with Thai Airways International (THAI), Thai Hotels Association (THA) and Association of Thai Travel Agents (ATTA), has launched the ‘Amazing Thailand Plus’ offer for international travellers who wish to enter Thailand during the pandemic.    The offer comprises over 400 packages, inclusive of special fares on international and domestic flights, rooms at government-accredited Alternative State Quarantine (ASQ) hotels, and post-quarantine tours or transfers. Accommodation options are available at 70 ASQ hotels and over other 100 hotels in designated destinations. Bookings must be made through Thai Airways International by choosing  from A, B, or C package: ...     The offers are available from December 2020 until March 2021, for travel period starting from December 2020 until April 2021.    A single-entry tourist visa (TR) or a special tourist visa (STV) is currently available for non-Thai citizens from the Covid-19 low-risk countries, as per Ministry of Public Health.'    https://archive.vn/6sKu0","thailand","quarantine arrivals from some/ all regions"
"Tajikistan","TJK",20201129,"C8: International travel controls",2,NA,"No policy changes with the newest updated information.  Link:  https://web.archive.org/web/20201204213251/https://tj.usembassy.gov/covid-19-information/","tajikistan","quarantine arrivals from some/ all regions"
"Turkmenistan","TKM",20201208,"C8: International travel controls",4,NA,"The government continues to close its border. It should also be noted that the Turkmenistan government still insists ""no cases of coronavirus infection have been registered in the country to date.""    ""All international commercial flights to and from Turkmenistan have been cancelled and land borders are closed to passenger traffic. Some press reporting indicates that international flight restrictions are expected to continue through January 1, 2020.""    ""Commercial flights to and from Turkmenistan are suspended. Occasional, tightly controlled, charter flights are the only means of entering or leaving the country by air.""    http://web-old.archive.org/web/20201208052008/https://www.gov.uk/foreign-travel-advice/turkmenistan/coronavirus    http://web-old.archive.org/web/20201208051714/https://tm.usembassy.gov/covid-19-information/","turkmenistan","ban on all regions/total border closure"
"Timor-Leste","TLS",20201204,"C8: International travel controls",2,NA,"Those who wish to enter Timor-Leste must obtain official approval before travel. Incoming passengers must test for COVID-19 before departure and undergo another test and quarantine for 14 days at government-designated facilities upon arrival. Travelers can leave the isolation sites upon testing negative for COVID-19 at the end of the isolation period. International passenger flights remain suspended, except for medical evacuations, humanitarian flights, and government operations.    https://web.archive.org/web/20201207150049/https://tl.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201207145830/https://www.garda.com/crisis24/news-alerts/407056/timor-leste-authorities-extend-nationwide-state-of-emergency-through-jan-2-2021-update-11","timor-leste","quarantine arrivals from some/ all regions"
"Trinidad and Tobago","TTO",20201124,"C8: International travel controls",4,NA,"All borders are closed until further notice to both nationals and non-nationals. Exemption requests must be made to the Ministry of National Security.    http://web.archive.org/web/20201207152452/https://tt.usembassy.gov/covid-19-information/  ","trinidad and tobago","ban on all regions/total border closure"
"Tunisia","TUN",20201125,"C8: International travel controls",2,NA,"https://web.archive.org/web/20201202115256/https://www.tripsguard.com/destination/tunisia/   Do I need to go into quarantine when arriving to Tunisia?  Anyone arriving to Tunisia will be required to quarantine for 14 days in an approved location.  All arrivals must download the government’s trace and track app.","tunisia","quarantine arrivals from some/ all regions"
"Turkey","TUR",20201202,"C8: International travel controls",1,NA,"There are screening procedures in place at airports and other ports of entry. A PCR test is required only for passengers with symptoms for COVID-19.   Link: https://archive.fo/3dmIF","turkey","screening arrivals"
"Tanzania","TZA",20201122,"C8: International travel controls",1,NA,"No policy change","tanzania","screening arrivals"
"Uganda","UGA",20201124,"C8: International travel controls",1,NA,"Noted testing at the borders in some articles, related to increased numbers.  https://web.archive.org/web/20201207215943/http://www.xinhuanet.com/english/2020-11/16/c_139518267.htm","uganda","screening arrivals"
"Ukraine","UKR",20201123,"C8: International travel controls",2,NA,"No evidence of additional policy changes. Adaptive quarantine in place until December 31 and weekend quarantine continues to November 30.    https://web.archive.org/web/20201125013008/https://www.kmu.gov.ua/en/timeline?type=posts&category_id=13&tag=Healthcare","ukraine","quarantine arrivals from some/ all regions"
"Uruguay","URY",20201117,"C8: International travel controls",3,NA,"Uruguayan borders are currently closed to non-Uruguayan citizens and residents. On October 26, Uruguay unveiled an online application system to request authorization to enter based on any of the exceptions: Family reunification between parents and minor single children or adult children with disabilities, or between spouses or common-law spouses; Drivers for international transportation; Airplane pilots; Seamen; Entrance may be authorized for humanitarian reasons or for labor, economic, business or judicial purposes.      http://web.archive.org/web/20201130031239/https://uy.usembassy.gov/covid-19-information/","uruguay","ban arrivals from some regions"
"United States of America","USA",20201109,"C8: International travel controls",3,NA,"With specific exceptions, foreign nationals who have been in any of the following countries during the past 14 days may not enter the United States: China, Iran, European Schengen area, United Kingdom, Republic of Ireland, Brazil.    http://web.archive.org/web/20201123200604/https://www.cdc.gov/coronavirus/2019-ncov/travelers/from-other-countries.html","united states of america","ban arrivals from some regions"
"Uzbekistan","UZB",20200901,"C8: International travel controls",2,NA,"From September 1, tourists are allowed to arrive by chartered flight, or by commercial flights departing from selected countries. Countries of origin are categorised into “green zone”, “yellow zone” and “red zone”. Countries not listed as green or yellow zones are included in the red zone, and will require 14 days quarantine upon arrival. See government telegram, archived https://web.archive.org/web/20201114061613/https://t.me/koronavirusinfouz/6027 AND local news agency Gazeta, archived: https://web.archive.org/web/20201114062002/https://www.gazeta.uz/ru/2020/09/01/international/ ","uzbekistan","quarantine arrivals from some/ all regions"
"Venezuela","VEN",20201130,"C8: International travel controls",4,NA,"On 11 November 2020, local authorities announced that all international regular commercial flight operations are prohibited until 11 February 2021, with the exception of operations to/from: Bolivia, the Dominican Republic, Iran, Mexico, Panama, Russia and Turkey. Frequencies to these destinations are limited and under constant review due to COVID-19. Websites contain very limited information. ","venezuela","ban on all regions/total border closure"
"Vietnam","VNM",20201117,"C8: International travel controls",3,NA,"""As of today, the Vietnamese government continues to suspend entry into Vietnam to all foreigners, including people with a Vietnamese visa exemption certificate.  This policy has very limited exemptions for diplomatic, official duty, and special cases, including experts, business managers, foreign investors, and high-tech workers of businesses involved in important projects as determined by the Government of Vietnam.  Family reunification is not one of the exemptions. ""    https://web.archive.org/web/20201130194455/https://vn.usembassy.gov/u-s-citizen-services/covid-19-information/","vietnam","ban arrivals from some regions"
"Vanuatu","VUT",20201117,"C8: International travel controls",4,NA,"No change in policy.","vanuatu","ban on all regions/total border closure"
"Yemen","YEM",20201130,"C8: International travel controls",2,NA,"  • Due to the complex conflict dynamics and migrant protection concerns across the country, IOM and partners continue to advocate against discriminatory policies and human rights abuses against migrants. This includes detention and forced transfers, the establishment of quarantine centres to hold migrants (de facto detention centres that do not follow COVID-19 standard protocols), and the lack of inclusive solutions in the management of the COVID-19 crisis throughout the country. IOM also keeps advocating against quarantine centres for migrants and refugees only, as a measure to avail discriminatory policies of arrest, encampment, or detention.  https://web.archive.org/web/20201130192636/https://reliefweb.int/sites/reliefweb.int/files/resources/IOM_Eastern%20Corridor%20Migrant%20Situation_18112020.pdf  ","yemen","quarantine arrivals from some/ all regions"
"South Africa","ZAF",20201117,"C8: International travel controls",2,NA,"Per US Embassy, On November 11, President Ramaphosa announced that the Government of South Africa is opening up international travel to all countries subject to the necessary health protocols and the presentation of a negative COVID-19 certificate.  https://web.archive.org/web/20201129221233/https://za.usembassy.gov/covid-19-information-2/","south africa","quarantine arrivals from some/ all regions"
"Zambia","ZMB",20201116,"C8: International travel controls",1,NA,"No new guidance","zambia","screening arrivals"
"Zimbabwe","ZWE",20201030,"C8: International travel controls",2,NA,"No policy change - this information is still relevant: https://web.archive.org/web/20201027054244/https://zw.usembassy.gov/covid-19-information-2/","zimbabwe","quarantine arrivals from some/ all regions"
"Taiwan","TWN",20201120,"C8: International travel controls",3,NA,"'Starting from November 20, Indonesian migrant workers [to Taiwan] are required to undergo quarantine at group quarantine facilities after entry, and entry of migrant workers arranged by four Indonesian employment agencies is temporarily suspended.'    https://archive.vn/tpNXl","taiwan","ban arrivals from some regions"
"Kosovo","RKS",20201129,"C8: International travel controls",2,NA,"No change found. ","kosovo","quarantine arrivals from some/ all regions"
